(Level1) Chief Executive Officer  (Anthony Miller )                                                        $433,800
         (Level2) Chief Sales Officer  (Harry Highpoint )                                                  $243,190
                  (Level3) Vice President  (Henri Le Bleu )                                                $194,885
                           (Level4) Director  (Reginald Steiber )                                          $156,065
                                    (Level5) Sales Manager  (Dennis Lansberry )                             $84,260
                                             (Level6) Sales Rep. I  (Saunders Briggi )                      $26,335
                                             (Level6) Sales Rep. II  (Diosdado Mckee )                      $27,700
                                             (Level6) Sales Rep. I  (Hershell Tolley )                      $27,265
                                             (Level6) Sales Rep. I  (Michael. R. Boocks )                   $27,055
                                             (Level6) Sales Rep. I  (Lesia Galarneau )                      $27,460
                                             (Level6) Sales Rep. I  (Tammy Ruta )                           $27,010
                                             (Level6) Trainee  (Paul Tacosa )                               $25,585
                                             (Level6) Trainee  (Peter Pringley )                            $25,405
                                             (Level6) Trainee  (Shia-Ling Digiorgio )                       $24,390
                                             (Level6) Trainee  (William Pantages )                          $25,445
                                             (Level6) Trainee  (Gary Herndon )                              $25,255
                                             (Level6) Trainee  (Yusef Hafley )                              $30,945
                                             (Level6) Trainee  (Glacia Nazar )                              $25,405
                                             (Level6) Trainee  (Keyna Mangini )                             $25,435
                                             (Level6) Trainee  (James Penhale )                             $26,015
                                             (Level6) Trainee  (Michael Holt )                              $25,315
                                             (Level6) Temp. Sales Rep.  (Deginald Gonzalez )                $26,925
                                             (Level6) Temp. Sales Rep.  (Randy Helyar )                     $26,410
                                             (Level6) Temp. Sales Rep.  (Stancey Scarbrough )               $26,265
                                             (Level6) Temp. Sales Rep.  (Halouise Cassone )                 $25,735
                                             (Level6) Temp. Sales Rep.  (Susan Labach )                     $25,020
                                             (Level6) Temp. Sales Rep.  (Bruce Armogida )                   $25,205
                                             (Level6) Temp. Sales Rep.  (Paul Lawson )                      $25,725
                                             (Level6) Temp. Sales Rep.  (Teresa Sergi )                     $26,640
                                             (Level6) Temp. Sales Rep.  (Mary Bond-Teague )                 $26,670
                                             (Level6) Temp. Sales Rep.  (Aquilla O'Carroll )                $26,430
                                             (Level6) Temp. Sales Rep.  (Okema Whipkey )                    $26,515
